1	2016
2	2099
3	2143
4	2147
5	2191
6	2234
7	2226
8	2217
9	2185
10	2185
11	2174
12	2041
1	1997
2	2014
3	2113
4	2140
5	2215
6	2225
7	2224
8	2196
9	2256
10	2244
11	2256
12	2231
1	2246
2	2347
3	2357
4	2349
5	2438
6	2432
7	2429
8	2492
9	2464
10	2513
11	2491
12	2408
1	2449
2	2507
3	2546
4	2548
5	2579
6	2557
7	2600
8	2694
9	2700
10	2724
11	2695
12	2656
1	2624
2	2687
3	2758
4	2826
5	2820
6	2836
7	2840
8	2897
9	2947
10	2958
11	2904
12	2826
1	2834
2	2968
3	2922
4	2949
5	2965
6	2984
7	3051
8	3092
9	3171
10	3110
11	3083
12	3042
1	3047
2	3097
3	3190
4	3199
5	3256
6	3301
7	3260
8	3387
9	3453
10	3334
11	3261
12	3233
1	3268
2	3319
3	3291
4	3373
5	3410
6	3503
7	3509
8	3608
9	3559
10	3462
11	3469
12	3375
1	3391
2	3385
3	3382
4	3135
5	3298
6	3399
7	3442
8	3504
9	3493
10	3475
11	3395
12	3190
1	3194
2	3271
3	3451
4	3456
5	3497
6	3576
7	3608
8	3664
9	3655
10	3634
11	3551
12	3390
1	3391
2	3460
3	3454
4	3483
5	3560
6	3572
7	3591
8	3598
9	3555
10	3484
11	3426
12	3382
1	3400
2	3514
3	3630
4	3566
5	3665
6	3675
7	3759
8	3748
9	3777
10	3696
11	3574
12	3483
1	3390
2	3512
3	3554
4	3546
5	3601
6	3546
7	3603
8	3652
9	3688
10	3707
11	3457
12	3512
1	3637
2	3686
3	3796
4	3772
5	3837
6	3820
7	3836
8	3963
9	3924
10	3897
11	3778
12	3687
1	3729
2	3909
3	3912
4	3988
5	4120
6	4240
7	4298
8	4374
9	4530
10	4371
11	4308
12	4226
1	4134
2	4281
3	4297
4	4299
5	4394
6	4407
7	4479
8	4539
9	4670
10	4522
11	4538
12	4262
